CandidateID,Match Percentage
candidate_014,43.284283
candidate_098,12.088136
candidate_075,41.872974
candidate_016,49.88612
candidate_131,33.909966
candidate_056,43.615234
candidate_141,46.533184
candidate_044,48.467503
candidate_029,37.51031
candidate_120,47.11185
candidate_094,23.694557
candidate_005,48.80077
candidate_102,38.37259
candidate_051,45.296356
candidate_078,52.513847
candidate_042,11.082709
candidate_092,17.57693
candidate_066,34.898495
candidate_031,40.027782
candidate_035,44.602394
candidate_090,41.942417
candidate_084,38.280605
candidate_077,42.909557
candidate_040,39.86085
candidate_125,13.840096
candidate_099,43.687843
candidate_033,48.08845
candidate_019,49.854115
candidate_073,43.222244
candidate_146,43.002308
candidate_091,35.65485
candidate_135,43.946335
candidate_069,68.392204
candidate_128,14.103957
candidate_114,14.887386
candidate_048,43.67396
candidate_053,50.96255
candidate_028,40.160484
candidate_054,44.419754
candidate_108,10.0874815
candidate_112,12.399407
candidate_017,48.67329
candidate_119,47.120785
candidate_103,8.926368
candidate_058,13.036072
candidate_118,54.41557
candidate_018,42.782375
candidate_004,10.441641
candidate_045,39.343002
candidate_059,37.155052
candidate_039,18.185144
candidate_036,13.087836
candidate_117,47.59891
candidate_139,12.882419
candidate_107,56.911312
candidate_132,48.10754
candidate_126,25.636562
candidate_085,44.079792
candidate_122,22.545391
candidate_095,39.28365
